Date,Open,High,Low,Close,Volume
01/27/2023,"6.10","6.21","6.06","6.19","730,624"
01/26/2023,"6.10","6.15","6.05","6.10","219,255"
01/25/2023,"6.01","6.10","5.96","6.07","229,533"
01/24/2023,"6.08","6.10","6.05","6.05","201,361"
01/23/2023,"6.09","6.17","6.05","6.12","357,396"
01/20/2023,"6.01","6.11","5.91","6.10","321,369"
01/19/2023,"5.92","6.01","5.87","5.99","385,976"
01/18/2023,"6.15","6.16","5.98","5.99","417,457"
01/17/2023,"6.22","6.24","6.10","6.12","342,088"
01/13/2023,"6.14","6.20","6.07","6.19","286,085"
01/12/2023,"6.13","6.16","6.09","6.16","395,861"
01/11/2023,"6.00","6.12","6.00","6.07","541,072"
01/10/2023,"5.87","5.98","5.83","5.96","504,774"
01/09/2023,"5.96","6.00","5.85","5.87","562,123"
01/06/2023,"5.86","5.97","5.80","5.93","357,886"
01/05/2023,"5.88","5.88","5.77","5.85","313,302"
01/04/2023,"5.83","5.94","5.82","5.92","372,004"
01/03/2023,"5.65","5.80","5.62","5.80","590,997"
12/30/2022,"5.60","5.65","5.57","5.59","385,048"
12/29/2022,"5.59","5.72","5.53","5.67","453,346"
12/28/2022,"5.67","5.68","5.53","5.55","512,199"
12/27/2022,"5.61","5.68","5.55","5.62","399,313"
12/23/2022,"5.53","5.61","5.49","5.58","440,986"
12/22/2022,"5.49","5.55","5.41","5.55","413,882"
12/21/2022,"5.55","5.64","5.54","5.54","475,799"
12/20/2022,"5.42","5.55","5.37","5.48","372,505"
12/19/2022,"5.49","5.57","5.34","5.41","634,477"
12/16/2022,"5.36","5.48","5.36","5.46","989,827"
12/15/2022,"5.52","5.53","5.43","5.46","618,567"
12/14/2022,"5.59","5.66","5.55","5.61","503,530"
12/13/2022,"5.75","5.85","5.58","5.61","1,100,975"
12/12/2022,"5.65","5.65","5.57","5.63","699,235"
12/09/2022,"5.74","5.86","5.64","5.65","804,952"
12/08/2022,"5.84","5.84","5.62","5.77","818,220"
12/07/2022,"5.78","5.86","5.73","5.81","1,037,190"
12/06/2022,"5.60","5.82","5.58","5.82","1,141,942"
12/05/2022,"5.58","5.64","5.54","5.57","453,971"
12/02/2022,"5.58","5.66","5.47","5.60","503,731"
12/01/2022,"5.65","5.69","5.54","5.60","733,994"
11/30/2022,"5.60","5.60","5.36","5.57","943,465"
11/29/2022,"5.49","5.63","5.46","5.60","621,623"
11/28/2022,"5.44","5.50","5.38","5.45","597,302"
11/25/2022,"5.51","5.55","5.45","5.50","251,236"
11/23/2022,"5.34","5.48","5.33","5.48","466,342"
11/22/2022,"5.43","5.49","5.36","5.44","616,936"
11/21/2022,"5.31","5.37","5.24","5.37","504,915"
11/18/2022,"5.40","5.41","5.29","5.31","588,192"
11/17/2022,"5.15","5.32","5.15","5.32","397,824"
11/16/2022,"5.45","5.47","5.23","5.27","581,974"
11/15/2022,"5.37","5.58","5.32","5.48","889,701"
11/14/2022,"5.60","5.60","5.22","5.24","824,060"
11/11/2022,"5.60","5.72","5.52","5.60","819,244"
11/10/2022,"5.42","5.74","5.41","5.62","856,027"
